Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 674 EN 16th,674 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 674 1/2 EN 16th,674  1/2  EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 690 EN 16th,690 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 696 EN 16th #A-F,696 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 696 EN 16th #G - H,696 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 841 EN 16th,841 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 843 EN 16th,843 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 845 EN 16th,845 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 847 EN 16th,847 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 849 EN 16th,849 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 851 EN 16th,851 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 857 EN 16th,857 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 859 EN 16th,859 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 861 EN 16th,861 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 863 EN 16th,863 EN 16th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 610 EN 18th,610 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 625 EN 18th-Main,625 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 625 EN 18th #A & B,625 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 650 EN 18th,650 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 655 EN 18th,655 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 674 EN 18th,674 EN 18th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 682 EN 18th #A,682 EN 18th #A,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 682 EN 18th #B,682 EN 18th #B,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 610 EN 19th,610 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 642 EN 19th,642 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 650 EN 19th,650 EN 19th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 525 EN 20th,525 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 541 EN 20th,541 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 650 EN 20th,650 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 657 EN 20th,657 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 665 EN 20th,665 EN 20th,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 573 EN 21st,573 EN 21st,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 666 EN 21st,666 EN 21st,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 886 N. Judge Ely,886 N. Judge Ely,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 888 N. Judge Ely,888 N. Judge Ely,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1001 Washington Blvd,1001 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1002 Washington Blvd,1002 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1102 Washington Blvd,1102 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1501 Washington Blvd,1501 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1517 Washington Blvd,1517 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1517  1/2 Washington Blvd,1517  1/2 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1525 Washington Blvd,1525 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 1527 Washington Blvd,1527 Washington Blvd,0
2018,222178,Abilene Christian University,1,ACU-Abilene,5204,Rental 625 EN 18th #E,625 EN 18th #E,0
